Location,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,Prayer Rooms,Lounge or Sitting Room,price_usd,additional rooms,area_squared_meter,Total Rooms,total amenity rooms,total regular rooms,State
"Bahria Nasheman, Lahore, Punjab",4.0,3.0,0,0,0,0,0,0,0,0,0,0,54063.795278428544,0,130.0,7.0,0,7.0,Punjab
"Bahria Nasheman, Lahore, Punjab",6.0,3.0,1,1,1,2,1,0,1,0,0,1,52261.668769147596,1,130.0,18.0,3,15.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,0,0,0,0,0,0,0,0,0,0,142367.99423319518,0,208.0,9.0,0,9.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,0,0,0,0,0,0,0,0,0,0,138763.74121463328,1,208.0,10.0,0,10.0,Punjab
"Bahria Town, Lahore, Punjab",3.0,3.0,0,0,1,2,1,0,1,0,0,1,82897.81942692377,1,130.0,13.0,3,10.0,Punjab
"Bahria Town, Lahore, Punjab",3.0,3.0,0,0,1,2,1,0,1,0,0,1,86502.07244548568,1,130.0,13.0,3,10.0,Punjab
"Raiwind Road, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,0,0,0,1,136961.61470535232,1,260.0,18.0,2,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,336997.65723553795,1,506.0,12.0,0,12.0,Punjab
"Raiwind Road, Lahore, Punjab",5.0,4.0,1,1,1,2,1,0,1,1,1,1,88304.19895476663,1,260.0,20.0,5,15.0,Punjab
"Canal Garden, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,0,1,77491.43989908091,1,130.0,18.0,3,15.0,Punjab
"Canal Garden, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,0,1,75689.31338979997,1,130.0,18.0,3,15.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,1,0,0,0,594701.748062714,1,1012.0,18.0,2,16.0,Punjab
"Formanites Housing Scheme, Lahore, Punjab",5.0,4.0,1,0,0,2,1,0,1,0,0,1,63074.42782483331,1,135.20000000000002,16.0,3,13.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,0,1,132636.51108307805,1,260.0,18.0,3,15.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,0,0,0,0,0,0,0,0,0,0,140565.8677239142,0,260.0,9.0,0,9.0,Punjab
"Lahore Medical Housing Society, Lahore, Punjab",6.0,6.0,0,0,0,0,0,0,0,0,0,0,93710.57848260949,0,208.0,12.0,0,12.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,3,1,0,1,1,1,1,236078.57271580465,1,506.0,23.0,5,18.0,Punjab
"Wapda Town, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,97314.83150117139,0,130.0,10.0,0,10.0,Punjab
"Wapda Town, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,138763.74121463328,0,260.0,11.0,0,11.0,Punjab
"Wapda Town, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,178410.5244188142,0,260.0,11.0,0,11.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,7.0,0,0,0,0,0,0,0,0,0,0,189223.2834744999,1,506.0,14.0,0,14.0,Punjab
"Sukh Chayn Gardens, Lahore, Punjab",6.0,8.0,0,0,0,0,0,0,0,0,0,0,450531.6273202379,1,1012.0,15.0,0,15.0,Punjab
"Raiwind Road, Lahore, Punjab",5.0,3.0,1,0,0,1,1,0,1,0,0,0,95512.70499189044,1,130.0,13.0,2,11.0,Punjab
"Park View City, Lahore, Punjab",4.0,4.0,1,1,1,2,1,1,1,1,1,1,68480.80735267616,1,130.0,20.0,6,14.0,Punjab
"Bahria Town, Lahore, Punjab",4.0,3.0,1,1,0,2,1,0,0,0,0,1,104523.33753829519,1,150.79999999999998,14.0,2,12.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,1,1,2,1,0,1,0,1,1,191025.40998378088,1,260.0,19.0,4,15.0,Punjab
"Park View City, Lahore, Punjab",4.0,4.0,1,0,1,2,1,0,0,0,0,1,66318.25554153902,1,130.0,15.0,2,13.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,3,1,0,1,0,1,1,378446.5669489998,1,506.0,22.0,4,18.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,279329.6089385475,0,506.0,10.0,0,10.0,Punjab
"State Life Housing Society, Lahore, Punjab",6.0,5.0,1,1,1,3,1,1,1,1,1,1,189223.2834744999,1,506.0,24.0,6,18.0,Punjab
"Canal Garden, Lahore, Punjab",5.0,4.0,1,1,1,2,1,1,1,1,1,1,60551.45071183997,1,130.0,21.0,6,15.0,Punjab
"Park View City, Lahore, Punjab",4.0,4.0,0,0,0,2,1,0,0,0,0,0,68120.38205081997,1,130.0,12.0,1,11.0,Punjab
"Formanites Housing Scheme, Lahore, Punjab",4.0,3.0,1,0,0,2,1,0,1,0,0,1,81095.69291764282,1,130.0,14.0,3,11.0,Punjab
