Location,Baths,Beds,Dining Room,Laundry Room,Store Rooms,Kitchens,Drawing Room,Gym,Powder Room,Steam Room,Prayer Rooms,Lounge or Sitting Room,price_usd,additional rooms,area_squared_meter,Total Rooms,total amenity rooms,total regular rooms,State
"NFC 1, Lahore, Punjab",6.0,5.0,1,1,1,2,0,0,1,1,1,1,263110.4703550189,1,506.0,21.0,4,17.0,Punjab
"Jubilee Town, Lahore, Punjab",7.0,6.0,1,1,2,2,1,0,1,1,1,1,115336.0965939809,1,260.0,25.0,5,20.0,Punjab
"Wapda Town, Lahore, Punjab",6.0,7.0,1,1,1,2,1,0,1,1,1,1,234276.44620652372,1,506.0,24.0,5,19.0,Punjab
"Johar Town, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,1,1,1,95512.70499189044,1,130.0,22.0,5,17.0,Punjab
"PCSIR Housing Scheme, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,288340.2414849523,0,416.0,11.0,0,11.0,Punjab
"Faisal Town, Lahore, Punjab",3.0,3.0,1,0,1,1,1,0,0,0,0,0,59470.1748062714,1,91.0,11.0,1,10.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,3,1,1,1,1,1,1,251937.28599747704,1,607.1999999999999,25.0,6,19.0,Punjab
"Punjab Govt Employees Society, Lahore, Punjab",6.0,6.0,0,0,0,2,0,0,0,0,0,0,160389.25932600469,1,506.0,15.0,0,15.0,Punjab
"State Life Housing Society, Lahore, Punjab",6.0,5.0,1,1,1,3,1,0,1,1,0,1,201838.1690394666,1,506.0,22.0,4,18.0,Punjab
"Bahria Orchard, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,1,1,1,1,63074.42782483331,1,130.0,19.0,6,13.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,1,0,0,1,396467.83204180934,1,506.0,19.0,3,16.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,1,1,1,1,1,1,1,57668.04829699045,1,130.0,18.0,6,12.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,1,0,0,1,297350.874031357,1,506.0,19.0,3,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,4.0,1,1,1,2,1,1,1,1,1,1,176608.39790953326,1,260.0,22.0,6,16.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,1,1,1,1,74608.03748423139,1,130.0,19.0,6,13.0,Punjab
"Raiwind Road, Lahore, Punjab",4.0,3.0,0,1,1,2,0,0,0,0,0,1,32438.277167057127,1,78.0,13.0,1,12.0,Punjab
"Raiwind Road, Lahore, Punjab",4.0,3.0,0,1,1,2,0,0,0,0,0,1,45053.16273202379,1,78.0,13.0,1,12.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,284735.98846639035,0,506.0,11.0,0,11.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,0,0,1,1,1,1,1,1,333393.404216976,1,556.6,20.0,6,14.0,Punjab
"Punjab Govt Employees Society, Lahore, Punjab",6.0,7.0,1,1,0,2,0,0,1,1,1,1,223463.687150838,1,506.0,22.0,4,18.0,Punjab
"Izmir Town, Lahore, Punjab",6.0,5.0,1,1,1,2,0,0,1,1,1,1,86502.07244548568,1,130.0,21.0,4,17.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,5.0,1,1,1,2,1,1,1,1,1,1,281131.7354478284,1,506.0,22.0,6,16.0,Punjab
"Park View City, Lahore, Punjab",4.0,4.0,1,1,1,2,1,0,1,1,1,1,62353.577221120926,1,130.0,19.0,5,14.0,Punjab
"Audit & Accounts Housing Society, Lahore, Punjab",4.0,3.0,1,1,0,2,1,0,1,1,0,1,45053.16273202379,1,104.0,16.0,4,12.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,0,2,2,1,1,1,1,1,1,95512.70499189044,1,130.0,19.0,6,13.0,Punjab
"Ferozepur Road, Lahore, Punjab",5.0,4.0,1,0,1,2,1,1,1,0,1,0,63074.42782483331,1,130.0,18.0,4,14.0,Punjab
"Bahria Orchard, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,117138.22310326186,1,260.0,23.0,6,17.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,3,1,1,1,1,1,1,315372.1391241665,1,506.0,25.0,6,19.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,239682.82573436658,1,506.0,24.0,6,18.0,Punjab
"Raiwind Road, Lahore, Punjab",5.0,4.0,1,1,1,2,1,0,1,0,0,1,84699.94593620472,1,130.0,18.0,3,15.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,0,0,2,1,0,1,0,0,0,99116.95801045233,1,130.0,13.0,2,11.0,Punjab
"Bahria Town, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,118940.3496125428,0,260.0,10.0,0,10.0,Punjab
"Cantt, Lahore, Punjab",5.0,4.0,1,0,0,1,1,0,0,0,1,1,79293.56640836188,1,260.0,15.0,3,12.0,Punjab
"Mustafa Town, Lahore, Punjab",7.0,6.0,0,0,1,3,0,0,1,0,0,0,109929.71706613805,1,182.0,19.0,1,18.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,1,1,1,1,0,1,1,225265.81366011896,1,260.0,21.0,5,16.0,Punjab
"Highcourt Society, Lahore, Punjab",5.0,4.0,0,0,1,2,1,0,1,0,1,1,50459.54225986665,1,91.0,17.0,4,13.0,Punjab
"Bahria Town, Lahore, Punjab",4.0,3.0,1,1,0,0,1,1,1,1,1,1,78572.71580464949,1,130.0,16.0,6,10.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,1,0,0,1,1,1,1,1,1,142007.568931339,1,260.0,20.0,6,14.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,1,0,0,1,1,1,1,1,1,128311.40746080375,1,260.0,20.0,6,14.0,Punjab
"Raiwind Road, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,0,0,1,306361.5065777618,1,506.0,20.0,3,17.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",5.0,4.0,1,1,1,2,1,1,1,1,1,1,63074.42782483331,1,130.0,21.0,6,15.0,Punjab
"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",4.0,3.0,0,1,1,1,0,0,0,0,0,1,64876.554334114255,1,130.0,12.0,1,11.0,Punjab
"Raiwind Road, Lahore, Punjab",5.0,5.0,1,1,1,1,1,0,1,0,1,1,108127.59055685709,1,182.0,19.0,4,15.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,1,1,2,1,0,1,1,1,1,171202.0183816904,1,260.0,20.0,5,15.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,0,1,1,1,1,0,1,0,243287.07875292847,1,260.0,18.0,4,14.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,271760.6775995675,1,506.0,23.0,6,17.0,Punjab
"Raiwind Road, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,0,1,1,167597.7653631285,1,260.0,21.0,4,17.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,4.0,1,1,1,2,1,1,1,0,1,1,104523.33753829519,1,130.0,19.0,5,14.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,262389.61975130654,1,506.0,24.0,6,18.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,0,0,0,0,0,0,0,0,0,0,171202.0183816904,0,260.0,9.0,0,9.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,192827.5364930618,0,506.0,11.0,0,11.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,5.0,1,1,1,3,1,1,1,1,1,1,236078.57271580465,1,506.0,25.0,6,19.0,Punjab
"PIA Housing Scheme, Lahore, Punjab",6.0,7.0,1,1,1,2,1,1,1,1,1,1,189223.2834744999,1,506.0,25.0,6,19.0,Punjab
"Sue-e-Asal, Lahore, Punjab",3.0,2.0,1,1,1,1,1,0,0,0,1,1,18021.265092809517,1,78.0,13.0,3,10.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,2,2,1,0,1,0,0,1,459542.25986664265,1,556.6,20.0,3,17.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,0,1,126148.85564966661,1,208.0,18.0,3,15.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,210848.80158587135,1,506.0,24.0,6,18.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,1,1,1,1,0,1,1,1,1,135159.48819607138,1,260.0,19.0,5,14.0,Punjab
"Askari, Lahore, Punjab",3.0,3.0,1,1,1,1,1,0,0,1,0,1,153180.7532888809,1,260.0,14.0,3,11.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,5.0,1,1,1,3,1,1,1,1,1,1,252297.71129933323,1,506.0,25.0,6,19.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",4.0,3.0,0,0,0,0,0,0,0,0,0,0,45053.16273202379,1,91.0,8.0,0,8.0,Punjab
"Ferozepur Road, Lahore, Punjab",5.0,4.0,1,1,1,2,1,1,1,1,1,1,63074.42782483331,1,130.0,21.0,6,15.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",4.0,3.0,1,0,1,1,1,0,0,0,1,0,45053.16273202379,1,91.0,13.0,2,11.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",5.0,4.0,1,0,1,2,1,1,1,0,1,0,63074.42782483331,1,130.0,18.0,4,14.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",4.0,3.0,1,0,1,2,1,0,0,0,1,0,45053.16273202379,1,91.0,14.0,2,12.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,378446.5669489998,1,506.0,24.0,6,18.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,306361.5065777618,0,506.0,10.0,0,10.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,5.0,0,0,0,0,0,0,0,0,0,0,216255.18111371418,0,506.0,9.0,0,9.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,4.0,1,1,1,2,1,0,1,1,1,1,191025.40998378088,1,260.0,21.0,5,16.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,0,0,133357.36168679042,1,260.0,17.0,2,15.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,0,1,135159.48819607138,1,260.0,18.0,3,15.0,Punjab
"State Life Housing Society, Lahore, Punjab",6.0,5.0,0,1,1,2,1,1,1,1,1,1,270318.97639214277,1,506.0,22.0,6,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,0,0,0,0,306361.5065777618,1,506.0,16.0,1,15.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,120742.47612182375,1,260.0,23.0,6,17.0,Punjab
"Formanites Housing Scheme, Lahore, Punjab",4.0,3.0,0,0,0,0,0,0,0,0,0,0,54063.795278428544,1,130.0,8.0,0,8.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,5.0,1,1,1,3,1,1,1,1,1,1,194629.66300234277,1,260.0,24.0,6,18.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,4.0,1,1,1,3,1,1,1,1,1,0,145972.24725175707,1,260.0,22.0,5,17.0,Punjab
"Hamza Town, Lahore, Punjab",3.0,3.0,0,0,0,0,0,0,0,0,0,0,18742.115696521898,0,78.0,6.0,0,6.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,1,1,2,1,0,1,1,1,1,178410.5244188142,1,260.0,20.0,5,15.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,2,1,0,1,0,1,0,90106.32546404758,1,130.0,16.0,3,13.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,0,1,2,1,0,1,1,1,0,136961.61470535232,1,260.0,18.0,4,14.0,Punjab
"Raiwind Road, Lahore, Punjab",6.0,6.0,0,0,0,0,0,0,0,0,0,0,171202.0183816904,0,312.0,12.0,0,12.0,Punjab
"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,0,0,1,97314.83150117139,1,208.0,20.0,3,17.0,Punjab
"Raiwind Road, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,306361.5065777618,0,506.0,11.0,0,11.0,Punjab
"Raiwind Road, Lahore, Punjab",6.0,5.0,0,0,0,2,1,0,0,0,0,0,160389.25932600469,1,260.0,15.0,1,14.0,Punjab
"Raiwind Road, Lahore, Punjab",5.0,4.0,1,0,0,2,1,0,0,1,0,0,108127.59055685709,1,182.0,15.0,2,13.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,3,1,1,1,1,1,1,336997.65723553795,1,506.0,25.0,6,19.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,3,1,1,1,1,1,1,266354.29807172465,1,506.0,25.0,6,19.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,1,0,0,0,117138.22310326186,1,260.0,18.0,2,16.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,0,0,1,1,1,1,1,1,68480.80735267616,1,130.0,16.0,6,10.0,Punjab
"Punjab Coop Housing Society, Lahore, Punjab",5.0,4.0,1,0,1,2,1,0,0,0,0,1,145972.24725175707,1,260.0,16.0,2,14.0,Punjab
"Valencia Housing Society, Lahore, Punjab",6.0,5.0,1,1,0,0,1,0,1,0,0,1,180212.65092809516,1,506.0,17.0,3,14.0,Punjab
"Bankers Co-operative Housing Society, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,0,1,147774.37376103803,1,260.0,18.0,3,15.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,0,0,2,1,1,1,0,0,1,396467.83204180934,1,556.6,15.0,4,11.0,Punjab
"Formanites Housing Scheme, Lahore, Punjab",4.0,3.0,0,0,1,1,1,0,1,0,0,0,50459.54225986665,1,130.0,12.0,2,10.0,Punjab
"Bedian Road, Lahore, Punjab",4.0,3.0,1,0,1,2,1,0,0,0,1,0,38925.93260046856,1,130.0,14.0,2,12.0,Punjab
"Kahna, Lahore, Punjab",3.0,3.0,0,0,0,0,0,0,0,0,0,0,18742.115696521898,0,78.0,6.0,0,6.0,Punjab
"Bahria Town, Lahore, Punjab",4.0,3.0,1,1,0,2,1,0,0,0,0,0,77491.43989908091,1,130.0,13.0,1,12.0,Punjab
"Bahria Town, Lahore, Punjab",5.0,3.0,1,0,1,2,1,1,1,1,1,1,73887.18688051902,1,130.0,19.0,6,13.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,1,1,1,1,0,0,1,0,1,171202.0183816904,1,260.0,17.0,3,14.0,Punjab
"Bahria Town, Lahore, Punjab",5.0,5.0,1,0,1,2,1,0,0,0,0,1,126148.85564966661,1,208.0,17.0,2,15.0,Punjab
"UET Housing Society, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,0,0,0,0,126148.85564966661,1,260.0,16.0,1,15.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,378446.5669489998,0,506.0,10.0,0,10.0,Punjab
"PCSIR Staff Colony, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,153180.7532888809,0,506.0,10.0,0,10.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,318976.39214272844,1,506.0,24.0,6,18.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,0,1,1,1,1,1,1,1,72085.06037123807,1,130.0,17.0,6,11.0,Punjab
"Formanites Housing Scheme, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,1,0,0,1,126148.85564966661,1,260.0,19.0,3,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,3,1,0,1,1,1,1,246891.33177149037,1,506.0,23.0,5,18.0,Punjab
"Rehan Garden, Lahore, Punjab",3.0,3.0,0,0,1,2,1,0,0,0,0,1,32438.277167057127,1,78.0,12.0,2,10.0,Punjab
"Raiwind Road, Lahore, Punjab",4.0,3.0,1,1,1,2,1,1,1,1,1,1,39646.78320418094,1,78.0,19.0,6,13.0,Punjab
"Lahore Motorway City, Lahore, Punjab",2.0,2.0,0,0,0,0,0,0,0,0,0,0,19823.39160209047,0,130.0,4.0,0,4.0,Punjab
"Ferozepur Road, Lahore, Punjab",4.0,3.0,1,0,1,2,1,0,1,0,0,1,63074.42782483331,1,130.0,15.0,3,12.0,Punjab
"Park View City, Lahore, Punjab",4.0,4.0,1,0,0,2,1,0,1,0,0,1,63074.42782483331,1,130.0,15.0,3,12.0,Punjab
"Military Accounts Housing Society, Lahore, Punjab",4.0,3.0,1,0,1,1,1,0,1,0,1,0,52261.668769147596,1,104.0,14.0,3,11.0,Punjab
"Raiwind Road, Lahore, Punjab",5.0,5.0,1,1,1,2,1,0,1,0,0,0,108127.59055685709,1,182.0,18.0,2,16.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,1,1,1,215894.755811858,1,506.0,22.0,5,17.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,270318.97639214277,1,506.0,24.0,6,18.0,Punjab
"Lahore Medical Housing Society, Lahore, Punjab",3.0,3.0,0,0,0,0,0,0,0,0,0,0,38205.08199675618,0,72.8,6.0,0,6.0,Punjab
"Lahore Medical Housing Society, Lahore, Punjab",5.0,4.0,0,0,0,0,0,0,0,0,0,0,50459.54225986665,0,104.0,9.0,0,9.0,Punjab
"Lahore Medical Housing Society, Lahore, Punjab",4.0,3.0,1,0,0,1,1,0,0,0,0,0,63074.42782483331,1,166.4,11.0,1,10.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,1,1,2,1,1,1,1,1,1,136961.61470535232,1,260.0,21.0,6,15.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,318615.96684087225,1,506.0,23.0,6,17.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,0,0,0,0,0,0,0,0,0,0,279329.6089385475,0,260.0,9.0,0,9.0,Punjab
"Lalazaar Garden, Lahore, Punjab",3.0,3.0,0,0,0,0,0,0,0,0,0,0,46855.289241304745,0,83.2,6.0,0,6.0,Punjab
"Tariq Gardens, Lahore, Punjab",6.0,5.0,1,1,0,0,1,1,1,1,1,1,115336.0965939809,1,130.0,20.0,6,14.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,0,0,0,0,0,0,0,0,0,0,207244.54856730942,0,260.0,9.0,0,9.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,3,1,1,1,1,1,1,275725.35591998557,1,506.0,25.0,6,19.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,3,1,0,1,1,1,1,486574.15750585694,1,1012.0,23.0,5,18.0,Punjab
"Raiwind Road, Lahore, Punjab",5.0,4.0,1,1,0,2,1,0,1,0,0,1,72085.06037123807,1,130.0,17.0,3,14.0,Punjab
"Punjab Govt Employees Society, Lahore, Punjab",6.0,7.0,1,1,0,0,1,1,1,1,1,1,219859.4341322761,1,506.0,22.0,6,16.0,Punjab
"Raiwind Road, Lahore, Punjab",3.0,3.0,1,1,1,1,1,0,1,1,0,1,42169.76031717427,1,78.0,15.0,4,11.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,4.0,1,1,1,4,1,1,1,1,1,1,151378.62677959993,1,260.0,25.0,6,19.0,Punjab
"Cavalry Ground, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,270318.97639214277,0,607.1999999999999,10.0,0,10.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,0,0,0,0,0,0,0,0,0,0,360425.3018561903,0,607.1999999999999,11.0,0,11.0,Punjab
"GT Road, Lahore, Punjab",4.0,3.0,0,0,0,0,0,0,0,0,0,0,95512.70499189044,1,130.0,8.0,0,8.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,378446.5669489998,1,1012.0,24.0,6,18.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,630744.278248333,1,556.6,24.0,6,18.0,Punjab
"Bahria Town, Lahore, Punjab",4.0,3.0,1,0,1,2,1,0,0,0,0,1,72085.06037123807,1,130.0,14.0,2,12.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,0,0,0,1,108127.59055685709,1,260.0,18.0,2,16.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,0,0,0,1,104523.33753829519,1,260.0,18.0,2,16.0,Punjab
"Tariq Gardens, Lahore, Punjab",7.0,6.0,0,0,0,0,0,0,0,0,0,0,171202.0183816904,0,260.0,13.0,0,13.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,1,1,0,1,1,1,0,77491.43989908091,1,130.0,16.0,4,12.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,3,1,0,1,1,1,1,322580.64516129036,1,506.0,23.0,5,18.0,Punjab
"DHA 11 Rahbar, Lahore, Punjab",4.0,4.0,0,0,1,2,0,0,0,0,0,0,77491.43989908091,1,130.0,12.0,0,12.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,3,1,0,1,1,1,1,347810.41629122366,1,506.0,23.0,5,18.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,0,1,2,1,1,1,0,1,0,360425.3018561903,1,506.0,20.0,4,16.0,Punjab
"Bahria Town, Lahore, Punjab",5.0,5.0,1,1,0,2,1,0,0,0,0,1,126148.85564966661,1,260.0,17.0,2,15.0,Punjab
"Bedian Road, Lahore, Punjab",4.0,4.0,1,1,1,2,1,1,1,1,1,1,39646.78320418094,1,130.0,20.0,6,14.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,351414.6693097856,0,506.0,10.0,0,10.0,Punjab
"DHA Defence, Lahore, Punjab",4.0,3.0,1,1,1,1,1,1,1,1,1,1,87222.92304919806,1,130.0,18.0,6,12.0,Punjab
"Bahria Town, Lahore, Punjab",4.0,3.0,0,0,0,0,0,0,0,0,0,0,59470.1748062714,1,130.0,8.0,0,8.0,Punjab
"Park View City, Lahore, Punjab",4.0,4.0,1,0,0,2,1,0,1,1,0,1,64876.554334114255,1,130.0,16.0,4,12.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",4.0,3.0,1,0,1,2,1,0,1,0,0,1,68480.80735267616,1,130.0,15.0,3,12.0,Punjab
"DHA Defence, Lahore, Punjab",3.0,3.0,0,1,1,2,1,0,1,0,0,1,100919.0845197333,1,130.0,14.0,3,11.0,Punjab
"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",5.0,5.0,1,1,1,2,1,1,1,1,1,1,104523.33753829519,1,260.0,22.0,6,16.0,Punjab
"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,106325.46404757614,1,260.0,23.0,6,17.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,0,1,2,1,0,0,0,0,1,111731.843575419,1,260.0,18.0,2,16.0,Punjab
"Al Rehman Garden, Lahore, Punjab",6.0,5.0,1,1,0,2,1,0,1,1,1,1,72085.06037123807,1,156.0,21.0,5,16.0,Punjab
"Al Rehman Garden, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,1,1,1,59470.1748062714,1,130.0,22.0,5,17.0,Punjab
"Al Rehman Garden, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,1,1,1,63434.85312668949,1,156.0,22.0,5,17.0,Punjab
"Al Rehman Garden, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,1,1,1,102721.21102901424,1,208.0,22.0,5,17.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,3,1,0,1,1,1,1,304559.3800684808,1,506.0,23.0,5,18.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,0,1,1,1,1,342404.0367633808,1,506.0,23.0,5,18.0,Punjab
"Raiwind Road, Lahore, Punjab",5.0,5.0,0,0,0,0,0,0,0,0,0,0,124346.72914038567,0,182.0,10.0,0,10.0,Punjab
"Raiwind Road, Lahore, Punjab",5.0,4.0,0,0,0,0,0,0,0,0,0,0,84699.94593620472,0,130.0,9.0,0,9.0,Punjab
"Park View City, Lahore, Punjab",4.0,3.0,1,1,2,2,1,0,1,1,1,1,61272.30131555235,1,130.0,19.0,5,14.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,0,1,1,1,1,396107.40673995315,1,506.0,23.0,5,18.0,Punjab
"DHA Defence, Lahore, Punjab",5.0,4.0,1,1,1,2,1,0,1,1,1,1,246891.33177149037,1,260.0,20.0,5,15.0,Punjab
"Bahria Town, Lahore, Punjab",6.0,5.0,1,1,1,2,1,1,1,1,1,1,252297.71129933323,1,506.0,23.0,6,17.0,Punjab
"State Life Housing Society, Lahore, Punjab",5.0,4.0,1,1,1,2,1,1,1,1,1,1,122544.6026311047,1,260.0,21.0,6,15.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,1,1,1,1,1,1,1,349612.5428005046,1,506.0,22.0,6,16.0,Punjab
"Jubilee Town, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,1,0,0,0,66678.68084339521,1,130.0,17.0,2,15.0,Punjab
"Al Rehman Garden, Lahore, Punjab",3.0,2.0,1,0,0,1,0,0,1,0,0,0,39646.78320418094,1,130.0,9.0,1,8.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,1,3,1,0,1,1,1,1,212650.92809515228,1,506.0,23.0,5,18.0,Punjab
"Bahria Orchard, Lahore, Punjab",6.0,6.0,1,1,2,2,1,0,1,1,1,1,120742.47612182375,1,260.0,24.0,5,19.0,Punjab
"Jubilee Town, Lahore, Punjab",6.0,5.0,1,0,0,2,1,0,0,0,0,0,65957.83023968282,1,130.0,16.0,1,15.0,Punjab
"Central Park Housing Scheme, Lahore, Punjab",4.0,4.0,1,1,1,2,1,0,1,1,1,1,79293.56640836188,1,208.0,19.0,5,14.0,Punjab
"DHA 11 Rahbar, Lahore, Punjab",4.0,3.0,1,1,0,1,1,0,1,1,0,1,90106.32546404758,1,130.0,15.0,4,11.0,Punjab
"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",6.0,5.0,0,0,1,2,0,0,0,0,0,0,111731.843575419,1,260.0,15.0,0,15.0,Punjab
"DHA Defence, Lahore, Punjab",6.0,5.0,1,1,2,2,1,1,1,1,1,1,206884.12326545324,1,506.0,24.0,6,18.0,Punjab
"Al Rehman Garden, Lahore, Punjab",6.0,5.0,1,1,1,2,1,0,1,1,1,1,88304.19895476663,1,208.0,22.0,5,17.0,Punjab
